route,trip_count,avg_fare,disruption_count,reliability_score
1,860,1.8,22,0.0255813953488372
17,96,1.8,0,0
2,860,1.8,10,0.0116279069767442
24,408,1.8,0,0
3,445,1.8,7,0.0157303370786517
36,166,1.8,0,0
37,32,1.8,0,0
41,251,1.8,0,0
48,1163,1.8,0,0
5,247,1.8,5,0.0202429149797571
50,26,1.8,0,0
515,15,1.8,0,0
6,524,1.8,3,0.00572519083969466
7,524,1.8,5,0.00954198473282443
72,175,1.8,0,0
73,1,1.8,0,0
76,1300,1.8,0,0
8,284,1.8,1,0.00352112676056338
A1,1234,7.57647058823529,0,0
SB2,16,1.8,0,0
SB4,4,2.2,0,0
SB5,4,2.2,0,0
SB6,4,2.2,0,0
SB7,8,1.8,0,0
X12,4,2.2,0,0